episode,timestep,reward
565,1698000,33823.4611
567,1704000,34270.2787
569,1710000,37905.7495
571,1716000,17241.3702
573,1722000,29004.9335
575,1728000,40408.8647
577,1734000,38075.2229
579,1740000,20751.5625
581,1746000,16061.083
583,1752000,21410.88
585,1758000,21331.4571
587,1764000,45926.6019
589,1770000,39486.2649
591,1776000,23259.3405
593,1782000,39350.1023
595,1788000,26916.2035
597,1794000,50856.262
599,1800000,47055.6692
601,1806000,44997.0375
603,1812000,45283.136
605,1818000,44599.3996
607,1824000,42221.0262
609,1830000,47049.342
611,1836000,45799.9025
613,1842000,51836.2885
615,1848000,44099.0743
617,1854000,44571.4703
619,1860000,46436.4751
621,1866000,17109.4964
623,1872000,22195.1124
625,1878000,17320.3435
627,1884000,20642.5296
629,1890000,18026.5423
631,1896000,12712.3415
633,1902000,16825.6688
635,1908000,16332.5607
637,1914000,18633.8169
639,1920000,19761.0287
641,1926000,20420.1748
643,1932000,19221.6386
645,1938000,20233.7015
647,1944000,19724.6736
649,1950000,18210.9671
651,1956000,15298.4925
653,1962000,16885.0078
655,1968000,22760.6697
657,1974000,17768.8191
659,1980000,18762.7746
661,1986000,24192.1379
663,1992000,16167.1913
665,1998000,22439.3124
667,2004000,21603.395
669,2010000,22609.5606
671,2016000,17799.3257
673,2022000,25100.7514
675,2028000,17607.1597
677,2034000,23052.45
679,2040000,14927.4131
681,2046000,18441.2681
683,2052000,20551.471
685,2058000,20187.3905
687,2064000,18818.8658
689,2070000,22465.882
691,2076000,18567.4473
693,2082000,21702.6673
695,2088000,16753.8485
697,2094000,16745.5381
699,2100000,13722.8735
701,2106000,21640.1467
703,2112000,21022.3688
705,2118000,21795.101
707,2124000,20618.9548
709,2130000,22104.8012
711,2136000,20230.6228
713,2142000,21229.0578
715,2148000,17391.7418
717,2154000,23524.66
719,2160000,48257.931
721,2166000,16154.6212
723,2172000,8954.9798
725,2178000,7886.1257
727,2184000,9127.6245
729,2190000,8889.4434
731,2196000,11586.3099
733,2202000,7771.2147
735,2208000,9584.6989
737,2214000,12341.0304
739,2220000,2237.3704
741,2226000,2159.3398
743,2232000,-450.9201
745,2238000,1730.5639
747,2244000,2156.451
749,2250000,2530.873
751,2256000,3186.1775
753,2262000,4129.7303
755,2268000,15819.7871
757,2274000,3619.4077
759,2280000,17097.6131
761,2286000,5343.7985
763,2292000,5211.1154
765,2298000,3932.1607
767,2304000,416.0969
769,2310000,3765.2595
771,2316000,3298.0079
773,2322000,3856.9476
775,2328000,2625.7963
777,2334000,2293.8351
779,2340000,5303.8537
781,2346000,2509.7477
783,2352000,3470.7877
785,2358000,4378.7335
787,2364000,16539.4572
789,2370000,11744.1459
791,2376000,21869.9367
793,2382000,21114.1745
795,2388000,26429.0119
797,2394000,21296.3438
799,2400000,16522.5685
801,2406000,30811.3035
803,2412000,19783.5038
805,2418000,11213.2467
807,2424000,22753.7346
809,2430000,7465.3432
811,2436000,15410.1688
813,2442000,27132.5673
815,2448000,17697.3187
817,2454000,7018.0976
819,2460000,23257.4025
821,2466000,16689.4422
823,2472000,16934.7595
825,2478000,7439.5221
827,2484000,9404.2075
829,2490000,24296.5744
831,2496000,22680.7863
833,2502000,20051.3119
835,2508000,30322.351
837,2514000,18198.2235
839,2520000,19275.1604
841,2526000,18116.8512
843,2532000,15291.8741
845,2538000,10989.2719
847,2544000,23901.5363
849,2550000,31300.3088
851,2556000,23293.6467
853,2562000,13915.036
855,2568000,17500.2573
857,2574000,29018.4437
859,2580000,16215.0576
861,2586000,23791.8245
863,2592000,28729.217
865,2598000,20392.2647
867,2604000,18586.4486
869,2610000,29607.4691
871,2616000,13423.3034
873,2622000,15065.8322
875,2628000,18290.1894
877,2634000,18434.9859
879,2640000,24447.4125
881,2646000,22422.2026
883,2652000,24751.9591
885,2658000,26766.5841
887,2664000,16666.7779
889,2670000,18661.6194
891,2676000,19877.693
893,2682000,15788.4303
895,2688000,16999.4899
897,2694000,29775.0411
899,2700000,24469.3831
901,2706000,28027.0516
903,2712000,20996.8514
905,2718000,21006.9052
907,2724000,20188.8073
909,2730000,17591.1334
911,2736000,8413.25
913,2742000,18829.7991
915,2748000,31006.9524
917,2754000,7031.0604
919,2760000,8047.0483
921,2766000,21890.6993
923,2772000,28140.7719
925,2778000,14701.5518
927,2784000,16754.4664
929,2790000,22530.9913
931,2796000,14934.5685
933,2802000,30875.4216
935,2808000,24220.2154
937,2814000,14779.5628
939,2820000,18761.5157
941,2826000,24880.7002
943,2832000,13521.7989
945,2838000,24307.0441
947,2844000,26837.1175
949,2850000,18355.4947
951,2856000,26965.4597
953,2862000,21183.9409
955,2868000,8312.3044
957,2874000,29538.1398
959,2880000,31625.3331
961,2886000,22352.7414
963,2892000,17756.9366
965,2898000,29672.2219
967,2904000,22415.8921
969,2910000,20861.6589
971,2916000,14965.0002
973,2922000,23494.6791
975,2928000,14420.0988
977,2934000,12276.1855
979,2940000,11960.8769
981,2946000,14083.8191
983,2952000,24381.796
985,2958000,7076.1764
987,2964000,26842.7806
989,2970000,19805.9916
991,2976000,25904.9713
993,2982000,12932.7342
995,2988000,23956.9949
997,2994000,21490.748
999,3000000,16991.6531
1001,3006000,17932.9774
1003,3012000,6253.0659
1005,3018000,20730.2174
1007,3024000,13658.7351
1009,3030000,22432.7219
1011,3036000,28564.7248
1013,3042000,13508.3336
1015,3048000,18296.8552
1017,3054000,22817.0199
1019,3060000,21901.754
1021,3066000,23247.9736
1023,3072000,19999.3774
1025,3078000,12763.6814
1027,3084000,29323.0516
1029,3090000,22485.202
1031,3096000,26961.8946
1033,3102000,11356.7288
1035,3108000,26260.6257
1037,3114000,9494.5734
1039,3120000,21282.1225
1041,3126000,17552.4551
1043,3132000,16945.0837
1045,3138000,16403.4255
1047,3144000,12503.426
1049,3150000,28834.6044
1051,3156000,16618.8587
1053,3162000,15715.0922
1055,3168000,17738.5652
1057,3174000,9129.4798
1059,3180000,29413.2697
1061,3186000,26408.1129
1063,3192000,16727.3712
1065,3198000,19635.9228
1067,3204000,15321.9915
1069,3210000,19121.4548
1071,3216000,19796.3295
1073,3222000,18280.2531
1075,3228000,23135.761
1077,3234000,28156.6726
1079,3240000,19291.9564
1081,3246000,27780.4359
1083,3252000,15437.1601
1085,3258000,21158.036
1087,3264000,19864.2372
1089,3270000,9295.2286
1091,3276000,18425.2817
1093,3282000,18560.6517
1095,3288000,14753.1883
1097,3294000,16699.8477
1099,3300000,12946.346
1101,3306000,9594.6221
1103,3312000,17145.6023
1105,3318000,15127.4765
1107,3324000,8200.8344
1109,3330000,18721.6342
1111,3336000,21816.5136
1113,3342000,8622.3132
1115,3348000,18408.9152
1117,3354000,16210.3806
1119,3360000,6415.0842
1121,3366000,15431.5045
1123,3372000,13717.8466
1125,3378000,20928.4284
1127,3384000,17795.0871
1129,3390000,28157.1574
1131,3396000,18414.6313
1133,3402000,21585.0584
1135,3408000,22494.664
1137,3414000,19095.0825
1139,3420000,23931.1383
1141,3426000,19817.4574
1143,3432000,26603.7356
1145,3438000,10699.571
1147,3444000,20146.6265
1149,3450000,23529.8894
1151,3456000,24743.8661
1153,3462000,25612.0125
1155,3468000,18859.2822
1157,3474000,26651.7
1159,3480000,18512.5597
1161,3486000,18937.2203
1163,3492000,19877.1511
1165,3498000,17522.7178
1167,3504000,15126.0495
1169,3510000,32180.8668
1171,3516000,24832.5725
1173,3522000,17576.5489
1175,3528000,17327.7221
1177,3534000,6598.3227
1179,3540000,17039.158
1181,3546000,7192.1985
1183,3552000,19568.5479
1185,3558000,17579.5662
1187,3564000,25018.6731
1189,3570000,30396.3306
1191,3576000,7563.0709
1193,3582000,21184.8457
1195,3588000,29015.0309
1197,3594000,21306.1349
1199,3600000,18757.7005
1201,3606000,15119.1161
1203,3612000,18739.5678
1205,3618000,34199.0131
1207,3624000,26169.4539
1209,3630000,19544.318
1211,3636000,14058.0471
1213,3642000,28526.8106
1215,3648000,11052.3883
1217,3654000,18612.0921
1219,3660000,24318.3359
1221,3666000,15744.1043
1223,3672000,12069.5222
1225,3678000,16210.9724
1227,3684000,6818.4958
1229,3690000,26557.267
1231,3696000,19864.0127
1233,3702000,27456.5095
1235,3708000,27045.7658
1237,3714000,24320.4927
1239,3720000,17839.301
1241,3726000,27430.6207
1243,3732000,7914.8898
1245,3738000,19502.5899
1247,3744000,20693.8306
1249,3750000,15967.8816
1251,3756000,17455.3575
1253,3762000,16613.4408
1255,3768000,17767.8087
1257,3774000,30334.5837
1259,3780000,9657.5014
1261,3786000,14551.1158
1263,3792000,30392.649
1265,3798000,17342.7758
1267,3804000,28471.0017
1269,3810000,6909.1199
1271,3816000,19524.3997
1273,3822000,20495.3516
1275,3828000,22880.681
1277,3834000,19291.523
1279,3840000,12337.9271
1281,3846000,24635.2033
1283,3852000,26596.5956
1285,3858000,29326.6482
1287,3864000,25710.9153
1289,3870000,16510.1975
1291,3876000,10278.9133
1293,3882000,19036.533
1295,3888000,23567.2704
1297,3894000,18408.2859
1299,3900000,17004.3421
1301,3906000,19388.3766
1303,3912000,27265.2756
1305,3918000,19748.2075
1307,3924000,21953.2439
1309,3930000,25738.3315
1311,3936000,16801.886
1313,3942000,17134.2303
1315,3948000,5625.5414
1317,3954000,29169.8546
1319,3960000,18572.521
1321,3966000,25528.7748
1323,3972000,20062.0076
1325,3978000,18083.3754
1327,3984000,19043.1064
1329,3990000,15487.2165
1331,3996000,9409.0118
1333,4002000,21772.9826
1335,4008000,14364.0098
1337,4014000,7913.0269
1339,4020000,18545.201
1341,4026000,9546.4984
1343,4032000,26940.2208
1345,4038000,27645.0362
1347,4044000,6324.8865
1349,4050000,18060.0483
1351,4056000,18492.9187
1353,4062000,22262.4841
1355,4068000,18619.2306
1357,4074000,20344.922
1359,4080000,12525.4952
1361,4086000,11926.8654
1363,4092000,21376.6011
1365,4098000,19166.2022
1367,4104000,12742.3404
1369,4110000,19722.949
1371,4116000,16025.3935
1373,4122000,17424.3325
1375,4128000,15970.5713
1377,4134000,21360.0505
1379,4140000,17491.2141
1381,4146000,13090.7349
1383,4152000,17382.192
1385,4158000,17417.044
1387,4164000,17155.7539
1389,4170000,18855.9006
1391,4176000,21024.7947
1393,4182000,19843.1085
1395,4188000,17587.0171
1397,4194000,20881.8318
1399,4200000,18452.2865
1401,4206000,16348.6862
1403,4212000,17115.9603
1405,4218000,20374.5936
1407,4224000,13639.2027
1409,4230000,11864.3253
1411,4236000,15437.0653
1413,4242000,17961.023
1415,4248000,19898.9995
1417,4254000,15635.6003
1419,4260000,16091.6488
1421,4266000,16721.0342
1423,4272000,18670.1281
1425,4278000,17073.7007
1427,4284000,18292.1158
1429,4290000,15851.7639
1431,4296000,10912.1176
1433,4302000,19722.8287
1435,4308000,16101.911
1437,4314000,16776.4264
1439,4320000,18021.3808
1441,4326000,16561.997
1443,4332000,19882.0926
1445,4338000,16584.086
1447,4344000,18869.1766
1449,4350000,16315.0739
1451,4356000,19024.9155
1453,4362000,13142.2879
1455,4368000,16301.0193
1457,4374000,17594.0402
1459,4380000,19165.5487
1461,4386000,15758.3821
1463,4392000,15303.4786
1465,4398000,14572.5096
1467,4404000,25523.2034
1469,4410000,19064.4239
1471,4416000,19043.4816
1473,4422000,19760.713
1475,4428000,14765.6888
1477,4434000,14725.2254
1479,4440000,13356.6457
1481,4446000,18955.614
1483,4452000,17587.1265
1485,4458000,17006.3428
1487,4464000,13561.3141
1489,4470000,19519.6725
1491,4476000,12632.7609
1493,4482000,16697.3504
1495,4488000,17132.6215
1497,4494000,19242.4255
1499,4500000,19330.0101
1501,4506000,14053.3449
1503,4512000,15893.8514
1505,4518000,19130.3042
1507,4524000,19305.5993
1509,4530000,16145.3533
1511,4536000,16686.441
1513,4542000,21048.0815
1515,4548000,17185.1801
1517,4554000,11645.1723
1519,4560000,19495.9268
1521,4566000,16766.6197
1523,4572000,14364.9225
1525,4578000,18134.5079
1527,4584000,16038.6763
1529,4590000,17604.0586
1531,4596000,18407.2211
1533,4602000,15379.0109
1535,4608000,8361.1519
1537,4614000,17918.2569
1539,4620000,16357.34
1541,4626000,14932.6579
1543,4632000,18397.8134
1545,4638000,17914.7137
1547,4644000,13049.5034
1549,4650000,13696.3124
1551,4656000,12526.4648
1553,4662000,16123.0952
1555,4668000,18449.9918
1557,4674000,15101.8341
1559,4680000,16432.5851
1561,4686000,20081.7118
1563,4692000,15650.6442
1565,4698000,16612.15
1567,4704000,16871.4135
1569,4710000,16558.9295
1571,4716000,11769.8619
1573,4722000,19068.6469
1575,4728000,18635.6138
1577,4734000,18192.5148
1579,4740000,17312.4101
1581,4746000,18133.0629
1583,4752000,18918.0347
1585,4758000,14369.7159
1587,4764000,14167.5498
1589,4770000,18034.2487
1591,4776000,16700.9279
1593,4782000,16378.7742
1595,4788000,18253.4962
1597,4794000,18730.2641
1599,4800000,18659.0743
1601,4806000,20076.7539
1603,4812000,17278.0458
1605,4818000,17870.3371
1607,4824000,18035.7967
1609,4830000,16004.5897
1611,4836000,15436.457
1613,4842000,15730.1738
1615,4848000,17850.8317
1617,4854000,18218.7724
1619,4860000,17738.9152
1621,4866000,18001.8915
1623,4872000,19652.3407
1625,4878000,18853.5231
1627,4884000,20122.982
1629,4890000,21084.7347
1631,4896000,15113.5629
1633,4902000,19576.5753
1635,4908000,17974.0152
1637,4914000,17033.6861
1639,4920000,16416.5128
1641,4926000,19713.0998
1643,4932000,11017.3372
1645,4938000,13264.1431
1647,4944000,15862.0816
1649,4950000,18664.2451
1651,4956000,10923.8665
1653,4962000,20469.8983
