episode,timestep,reward
9,2000,-1166.8844
19,4000,-1296.1915
29,6000,-1133.1374
39,8000,-1130.5073
49,10000,-1145.228
59,12000,-1310.2316
69,14000,-1304.0081
79,16000,-1100.7525
89,18000,-1111.2681
99,20000,-990.2662
109,22000,-1067.5466
119,24000,-1183.15
129,26000,-1120.6258
139,28000,-1094.422
149,30000,-1153.534
159,32000,-1124.5335
169,34000,-1177.3903
179,36000,-1175.1546
189,38000,-1147.0405
199,40000,-1198.6076
209,42000,-1145.8263
219,44000,-1195.1852
229,46000,-1242.3474
239,48000,-1063.8181
249,50000,-1078.2404
259,52000,-946.9494
269,54000,-1036.997
279,56000,-1072.7412
289,58000,-1060.731
299,60000,-1062.9519
309,62000,-1139.6058
319,64000,-1180.5826
329,66000,-1043.5476
339,68000,-1126.6599
349,70000,-1126.8554
359,72000,-1173.4648
369,74000,-1007.9492
379,76000,-1041.4124
389,78000,-1004.9187
399,80000,-964.3938
409,82000,-1018.5898
419,84000,-1026.8239
429,86000,-885.8369
439,88000,-975.3932
449,90000,-948.9234
459,92000,-867.8279
469,94000,-872.4699
479,96000,-995.3905
489,98000,-1045.6947
499,100000,-916.3041
509,102000,-928.2784
519,104000,-859.939
529,106000,-939.0418
539,108000,-807.2861
549,110000,-860.4297
559,112000,-873.1672
569,114000,-853.2656
579,116000,-863.2647
589,118000,-811.9649
599,120000,-887.2641
609,122000,-811.0878
619,124000,-866.6916
629,126000,-900.1098
639,128000,-826.8404
649,130000,-883.2046
659,132000,-849.7191
669,134000,-717.6745
679,136000,-891.9036
689,138000,-792.5506
699,140000,-787.3519
709,142000,-774.2276
719,144000,-746.9868
729,146000,-806.1604
739,148000,-781.1669
749,150000,-773.2454
759,152000,-766.6582
769,154000,-734.6355
779,156000,-755.8122
789,158000,-773.6613
799,160000,-731.3788
809,162000,-772.9843
819,164000,-720.2606
829,166000,-720.8524
839,168000,-759.535
849,170000,-642.8204
859,172000,-661.8327
869,174000,-665.9121
879,176000,-735.2469
889,178000,-633.7
899,180000,-636.1613
909,182000,-659.7255
919,184000,-670.4847
929,186000,-665.7274
939,188000,-626.8315
949,190000,-582.4994
959,192000,-615.9522
969,194000,-625.483
979,196000,-671.362
989,198000,-628.8193
999,200000,-623.815
1009,202000,-574.6793
1019,204000,-600.1031
1029,206000,-592.6774
1039,208000,-563.8161
1049,210000,-572.4454
1059,212000,-594.7414
1069,214000,-543.8733
1079,216000,-570.1779
