episode,timestep,reward
9,2000,-1319.0091
19,4000,-1254.353
29,6000,-1104.3702
39,8000,-1154.0842
49,10000,-1459.8026
59,12000,-1314.166
69,14000,-1244.2782
79,16000,-1343.4519
89,18000,-1159.6427
99,20000,-1156.2472
109,22000,-1284.964
119,24000,-1192.7175
129,26000,-1071.6085
139,28000,-1121.4464
149,30000,-1075.2099
159,32000,-1151.8794
169,34000,-1133.8887
179,36000,-1096.1202
189,38000,-1068.2598
199,40000,-1065.0604
209,42000,-1069.2802
219,44000,-1040.0153
229,46000,-1179.4589
239,48000,-1232.3072
249,50000,-1049.9411
259,52000,-1037.8607
269,54000,-1053.5074
279,56000,-989.4026
289,58000,-1038.9665
299,60000,-1025.7452
309,62000,-1048.7945
319,64000,-1032.316
329,66000,-1098.1539
339,68000,-987.8891
349,70000,-971.8796
359,72000,-1014.0445
369,74000,-962.9036
379,76000,-905.7435
389,78000,-991.0431
399,80000,-999.1671
409,82000,-967.9566
419,84000,-964.4012
429,86000,-907.7041
439,88000,-1005.2524
449,90000,-899.8325
459,92000,-974.0501
469,94000,-916.5688
479,96000,-987.6215
489,98000,-962.5654
499,100000,-929.2289
509,102000,-906.3091
519,104000,-832.6926
529,106000,-919.8052
539,108000,-865.4384
549,110000,-860.7262
559,112000,-847.3207
569,114000,-844.0562
579,116000,-880.5123
589,118000,-796.5362
599,120000,-828.1012
609,122000,-820.0759
619,124000,-804.4386
629,126000,-808.3542
639,128000,-819.9605
649,130000,-786.4579
659,132000,-777.7004
669,134000,-765.779
679,136000,-783.7362
689,138000,-729.7737
699,140000,-736.445
709,142000,-777.7595
719,144000,-754.7233
729,146000,-755.2233
739,148000,-799.1107
749,150000,-736.8511
759,152000,-760.873
769,154000,-659.1014
779,156000,-751.3871
789,158000,-729.3291
799,160000,-763.9861
809,162000,-668.9988
819,164000,-658.6468
829,166000,-701.2139
839,168000,-717.7844
849,170000,-686.2436
859,172000,-723.1581
869,174000,-694.7255
879,176000,-671.2668
889,178000,-709.5804
899,180000,-671.6862
909,182000,-701.5845
919,184000,-647.3908
929,186000,-552.8464
939,188000,-642.6533
949,190000,-655.6341
959,192000,-589.2532
969,194000,-520.5987
979,196000,-614.2983
989,198000,-516.6729
999,200000,-536.1849
1009,202000,-540.0479
1019,204000,-420.419
1029,206000,-451.4823
1039,208000,-393.715
1049,210000,-392.2584
1059,212000,-335.1786
1069,214000,-303.6897
1079,216000,-233.4739
1089,218000,-329.2749
1099,220000,-313.7791
1109,222000,-270.6672
1119,224000,-221.8942
1129,226000,-242.2902
1139,228000,-243.5829
1149,230000,-219.9581
1159,232000,-204.988
1169,234000,-207.7749
1179,236000,-168.6192
1189,238000,-234.2239
1199,240000,-152.0469
1209,242000,-149.1767
1219,244000,-257.064
1229,246000,-182.0587
1239,248000,-169.458
1249,250000,-287.6194
1259,252000,-183.9121
1269,254000,-159.1366
1279,256000,-181.2828
1289,258000,-187.0274
1299,260000,-180.5285
1309,262000,-169.6308
1319,264000,-254.1641
1329,266000,-143.3088
1339,268000,-187.3806
1349,270000,-201.4976
1359,272000,-204.0262
1369,274000,-172.4649
1379,276000,-110.7466
1389,278000,-123.6556
1399,280000,-204.2988
1409,282000,-147.6786
1419,284000,-171.3733
1429,286000,-170.7239
1439,288000,-183.0134
1449,290000,-220.0529
1459,292000,-144.8995
1469,294000,-158.8775
1479,296000,-193.761
1489,298000,-97.8342
1499,300000,-170.8731
1509,302000,-141.3839
1519,304000,-186.3238
1529,306000,-176.7176
1539,308000,-200.3958
1549,310000,-148.7961
1559,312000,-145.3342
1569,314000,-168.7754
1579,316000,-169.6118
1589,318000,-171.4937
1599,320000,-181.8367
1609,322000,-122.8159
1619,324000,-184.4958
1629,326000,-240.8449
1639,328000,-156.7869
1649,330000,-108.5199
1659,332000,-180.8428
1669,334000,-122.0098
1679,336000,-170.554
1689,338000,-218.0242
1699,340000,-216.424
1709,342000,-148.709
1719,344000,-173.4402
1729,346000,-188.4234
1739,348000,-230.8338
1749,350000,-141.3458
1759,352000,-169.1693
1769,354000,-192.4311
1779,356000,-135.7834
1789,358000,-134.5348
1799,360000,-186.0033
1809,362000,-111.3129
1819,364000,-148.6173
1829,366000,-227.9002
1839,368000,-197.3307
1849,370000,-221.3688
1859,372000,-199.6013
1869,374000,-160.6278
1879,376000,-197.1226
1889,378000,-146.5504
1899,380000,-208.3425
1909,382000,-147.4672
1919,384000,-147.0287
1929,386000,-170.9247
1939,388000,-183.4977
1949,390000,-172.3302
1959,392000,-163.8168
1969,394000,-183.5249
1979,396000,-121.9059
1989,398000,-209.7858
1999,400000,-144.2575
2009,402000,-123.3955
2019,404000,-157.9773
2029,406000,-184.0624
2039,408000,-192.3823
2049,410000,-98.4027
2059,412000,-172.4967
2069,414000,-160.0402
2079,416000,-218.5306
2089,418000,-147.3804
2099,420000,-201.6964
2109,422000,-183.8225
2119,424000,-163.1832
2129,426000,-179.3434
2139,428000,-147.8722
2149,430000,-143.6119
2159,432000,-146.5598
2169,434000,-188.0144
2179,436000,-179.2415
2189,438000,-160.9994
2199,440000,-141.7239
2209,442000,-187.0985
2219,444000,-179.9766
2229,446000,-201.3446
2239,448000,-158.839
2249,450000,-139.5172
2259,452000,-203.0774
2269,454000,-120.591
2279,456000,-192.6679
2289,458000,-112.0383
2299,460000,-147.3912
2309,462000,-147.2618
2319,464000,-134.0041
2329,466000,-181.7431
2339,468000,-146.0017
2349,470000,-178.1539
2359,472000,-90.9517
2369,474000,-157.8716
2379,476000,-199.3881
2389,478000,-223.3029
2399,480000,-135.0866
2409,482000,-215.1995
2419,484000,-147.9771
2429,486000,-120.6175
2439,488000,-170.448
2449,490000,-162.8131
2459,492000,-133.1152
2469,494000,-165.0132
2479,496000,-154.1278
2489,498000,-236.7556
2499,500000,-158.7033
2509,502000,-134.3721
2519,504000,-196.196
2529,506000,-180.8629
2539,508000,-192.7455
2549,510000,-74.7576
2559,512000,-107.6933
2569,514000,-135.628
2579,516000,-168.6684
2589,518000,-148.2128
2599,520000,-236.5559
2609,522000,-132.8125
2619,524000,-164.693
2629,526000,-145.8827
2639,528000,-172.8734
2649,530000,-132.3738
2659,532000,-212.8799
2669,534000,-173.6908
2679,536000,-131.1314
2689,538000,-157.4844
2699,540000,-185.6272
2709,542000,-182.807
2719,544000,-179.5126
2729,546000,-169.2842
2739,548000,-218.4113
2749,550000,-169.0576
2759,552000,-178.157
2769,554000,-108.3155
2779,556000,-170.712
2789,558000,-156.652
2799,560000,-121.2336
2809,562000,-169.3821
2819,564000,-108.3309
2829,566000,-194.0212
2839,568000,-109.5722
2849,570000,-212.3319
2859,572000,-195.1059
2869,574000,-145.324
2879,576000,-184.7909
2889,578000,-174.4574
2899,580000,-145.1649
2909,582000,-150.108
2919,584000,-181.6626
2929,586000,-131.5736
2939,588000,-152.3649
2949,590000,-161.0126
2959,592000,-100.076
2969,594000,-111.6453
2979,596000,-190.5421
2989,598000,-119.766
2999,600000,-157.2462
3009,602000,-121.7589
3019,604000,-134.661
3029,606000,-201.7028
3039,608000,-182.3869
3049,610000,-137.0449
3059,612000,-144.27
3069,614000,-248.2819
3079,616000,-273.8796
3089,618000,-154.9052
3099,620000,-381.2834
3109,622000,-244.2051
3119,624000,-204.8205
3129,626000,-112.1819
3139,628000,-168.3871
3149,630000,-170.904
3159,632000,-286.2321
3169,634000,-159.3563
3179,636000,-142.6096
3189,638000,-147.3263
3199,640000,-169.9333
3209,642000,-197.128
3219,644000,-134.2654
3229,646000,-224.8532
3239,648000,-199.7571
3249,650000,-181.341
3259,652000,-222.0908
3269,654000,-212.0912
3279,656000,-146.5513
3289,658000,-173.8336
3299,660000,-147.4426
3309,662000,-137.4709
3319,664000,-195.8536
3329,666000,-181.3024
3339,668000,-166.5825
3349,670000,-123.9849
3359,672000,-147.6493
3369,674000,-197.7773
3379,676000,-123.4097
3389,678000,-166.5886
3399,680000,-181.8064
3409,682000,-160.0112
3419,684000,-173.7189
3429,686000,-170.1121
3439,688000,-158.2905
3449,690000,-133.6003
3459,692000,-190.4667
3469,694000,-124.8962
3479,696000,-109.7857
3489,698000,-132.8317
3499,700000,-212.382
3509,702000,-155.0858
3519,704000,-148.2941
3529,706000,-159.4495
3539,708000,-168.4959
3549,710000,-148.0388
3559,712000,-157.3704
3569,714000,-144.9443
3579,716000,-144.2425
3589,718000,-153.8851
3599,720000,-156.3053
