episode,timestep,reward
9,2000,-1172.5945
19,4000,-1143.6129
29,6000,-1152.4274
39,8000,-1177.8144
49,10000,-1215.1221
59,12000,-1198.895
69,14000,-1198.7723
79,16000,-1195.3035
89,18000,-1177.791
99,20000,-1143.452
109,22000,-1224.5583
119,24000,-1111.0634
129,26000,-1125.5564
139,28000,-1106.9779
149,30000,-1102.9346
159,32000,-1052.4742
169,34000,-1155.1069
179,36000,-1156.6946
189,38000,-1137.8188
199,40000,-1147.9012
209,42000,-1077.6887
219,44000,-1111.1036
229,46000,-1149.2024
239,48000,-1114.1531
249,50000,-1138.8491
259,52000,-1162.6252
269,54000,-1129.5591
279,56000,-1076.9243
289,58000,-1089.5888
299,60000,-1155.4993
309,62000,-1100.9891
319,64000,-1117.1253
329,66000,-1074.5411
339,68000,-1107.6679
349,70000,-1140.0144
359,72000,-1148.5377
369,74000,-1140.3938
379,76000,-1062.344
389,78000,-1090.1286
399,80000,-1158.1854
409,82000,-1097.1215
419,84000,-1109.9697
429,86000,-1077.5738
439,88000,-1058.1215
449,90000,-1117.382
459,92000,-1095.3486
469,94000,-1085.3775
479,96000,-1156.6925
489,98000,-1147.0875
499,100000,-1076.3902
509,102000,-1122.1988
519,104000,-1031.2732
529,106000,-1113.1916
539,108000,-1100.4141
549,110000,-1124.6906
559,112000,-1095.2172
569,114000,-1066.8592
579,116000,-1083.5888
589,118000,-1113.3511
599,120000,-1129.6043
609,122000,-1101.076
619,124000,-1065.615
629,126000,-1137.1672
639,128000,-1103.1462
649,130000,-1052.7209
659,132000,-1125.5001
669,134000,-1059.6944
679,136000,-1106.1393
689,138000,-1022.3576
699,140000,-1095.1574
709,142000,-1070.4536
719,144000,-993.0426
729,146000,-1072.6989
739,148000,-1091.1711
749,150000,-1023.0026
759,152000,-1110.5484
769,154000,-1061.9929
779,156000,-1052.3566
789,158000,-1036.4014
799,160000,-1133.0679
809,162000,-1063.0424
819,164000,-1053.7748
829,166000,-1049.5116
839,168000,-1089.1907
849,170000,-1087.6115
859,172000,-1031.0286
869,174000,-1062.6186
879,176000,-1111.74
889,178000,-1079.8433
899,180000,-1022.6274
909,182000,-1090.1555
919,184000,-984.5531
929,186000,-1067.3692
939,188000,-992.775
949,190000,-1061.5268
959,192000,-1045.2593
969,194000,-1073.8765
979,196000,-1070.436
989,198000,-1088.2074
999,200000,-1025.7171
1009,202000,-1095.8996
1019,204000,-1003.6348
1029,206000,-1033.2589
1039,208000,-1012.0853
1049,210000,-978.1137
1059,212000,-1018.7408
1069,214000,-1006.2961
1079,216000,-1038.8375
1089,218000,-977.9847
1099,220000,-1048.493
1109,222000,-992.9019
1119,224000,-1065.1494
1129,226000,-990.2816
1139,228000,-959.3703
1149,230000,-982.6935
1159,232000,-963.8323
1169,234000,-997.5994
1179,236000,-999.9326
1189,238000,-973.8071
1199,240000,-1016.02
1209,242000,-975.411
1219,244000,-1002.3185
1229,246000,-1027.7974
1239,248000,-1048.2506
1249,250000,-989.0686
1259,252000,-995.1518
1269,254000,-997.2385
1279,256000,-994.9529
1289,258000,-1026.9717
1299,260000,-976.6823
1309,262000,-1020.0566
1319,264000,-985.0178
1329,266000,-963.4503
1339,268000,-958.7255
1349,270000,-958.5185
1359,272000,-982.3459
1369,274000,-1013.923
1379,276000,-997.5919
1389,278000,-901.0772
1399,280000,-996.6116
1409,282000,-959.9686
1419,284000,-999.5477
1429,286000,-935.7978
1439,288000,-997.5251
1449,290000,-902.8105
1459,292000,-878.911
1469,294000,-892.4177
1479,296000,-914.5088
1489,298000,-928.8152
1499,300000,-926.3755
1509,302000,-956.8651
1519,304000,-960.8902
1529,306000,-917.5248
1539,308000,-892.4893
1549,310000,-877.7493
1559,312000,-936.584
1569,314000,-955.4131
1579,316000,-900.2516
1589,318000,-904.7938
1599,320000,-932.55
1609,322000,-933.0974
1619,324000,-884.1748
1629,326000,-864.2229
1639,328000,-929.2174
1649,330000,-885.5799
1659,332000,-916.818
1669,334000,-917.859
1679,336000,-897.0536
1689,338000,-929.7144
1699,340000,-928.1126
1709,342000,-860.7537
1719,344000,-871.4813
1729,346000,-881.5865
1739,348000,-818.5055
1749,350000,-860.1486
1759,352000,-801.102
1769,354000,-777.6904
1779,356000,-879.9975
1789,358000,-902.3278
1799,360000,-843.898
1809,362000,-863.659
1819,364000,-818.8087
1829,366000,-900.547
1839,368000,-839.2222
1849,370000,-821.4051
1859,372000,-851.9365
1869,374000,-811.7596
1879,376000,-835.4744
1889,378000,-824.609
1899,380000,-837.6724
1909,382000,-812.0981
1919,384000,-777.1667
1929,386000,-760.0975
1939,388000,-793.2689
1949,390000,-830.9611
1959,392000,-791.2567
1969,394000,-792.4761
1979,396000,-783.8867
1989,398000,-792.6692
1999,400000,-752.7157
2009,402000,-854.9265
2019,404000,-769.4621
2029,406000,-823.0949
2039,408000,-802.1633
2049,410000,-773.6681
2059,412000,-760.6112
2069,414000,-769.2893
2079,416000,-830.4566
2089,418000,-836.6043
2099,420000,-810.689
2109,422000,-810.2217
2119,424000,-847.083
2129,426000,-805.2855
2139,428000,-798.8359
2149,430000,-786.6649
2159,432000,-773.0657
2169,434000,-763.5463
2179,436000,-790.0536
2189,438000,-764.0288
2199,440000,-785.9632
2209,442000,-803.2749
2219,444000,-733.8258
2229,446000,-680.8313
2239,448000,-812.8334
2249,450000,-658.1033
2259,452000,-732.6745
2269,454000,-737.2397
2279,456000,-770.5314
2289,458000,-824.3325
2299,460000,-751.7235
2309,462000,-686.9582
2319,464000,-738.6741
2329,466000,-775.6046
2339,468000,-768.9242
2349,470000,-739.3508
2359,472000,-744.4167
2369,474000,-792.7823
2379,476000,-729.8349
2389,478000,-748.6675
2399,480000,-720.1337
2409,482000,-694.9508
2419,484000,-745.7523
2429,486000,-755.2014
2439,488000,-797.7245
2449,490000,-720.4859
2459,492000,-745.9217
2469,494000,-785.9871
2479,496000,-758.6406
2489,498000,-738.222
2499,500000,-786.2929
2509,502000,-797.4487
2519,504000,-749.0678
2529,506000,-738.8794
2539,508000,-721.3122
2549,510000,-726.9667
2559,512000,-702.4118
2569,514000,-742.4959
2579,516000,-723.4128
2589,518000,-733.6616
2599,520000,-717.9207
2609,522000,-734.8379
2619,524000,-740.0028
2629,526000,-736.022
2639,528000,-714.9584
2649,530000,-687.0993
2659,532000,-693.6494
2669,534000,-681.4509
2679,536000,-721.0655
2689,538000,-738.34
2699,540000,-716.6739
2709,542000,-659.8405
2719,544000,-738.1463
2729,546000,-771.0711
2739,548000,-706.7588
2749,550000,-745.4864
2759,552000,-735.8201
2769,554000,-737.9327
2779,556000,-764.5518
2789,558000,-704.2116
2799,560000,-702.0472
2809,562000,-699.2385
2819,564000,-710.6312
2829,566000,-688.4625
2839,568000,-786.4303
2849,570000,-691.0954
2859,572000,-723.1744
2869,574000,-743.2621
2879,576000,-757.4309
2889,578000,-795.8398
2899,580000,-734.1234
2909,582000,-676.6769
2919,584000,-693.9213
2929,586000,-703.3199
2939,588000,-723.4621
2949,590000,-744.0921
2959,592000,-746.1399
2969,594000,-672.881
2979,596000,-696.2947
2989,598000,-634.6184
2999,600000,-686.9377
3009,602000,-674.936
3019,604000,-661.6677
3029,606000,-670.5113
3039,608000,-652.6071
3049,610000,-653.4033
3059,612000,-698.6941
3069,614000,-664.9523
3079,616000,-683.4234
3089,618000,-703.7991
3099,620000,-710.1544
3109,622000,-664.1289
3119,624000,-654.34
3129,626000,-697.8331
3139,628000,-712.0192
3149,630000,-663.6708
3159,632000,-723.9303
3169,634000,-702.4934
3179,636000,-686.2876
3189,638000,-756.2625
3199,640000,-749.7953
3209,642000,-707.5918
3219,644000,-667.19
3229,646000,-750.0537
3239,648000,-686.3694
3249,650000,-726.042
3259,652000,-622.86
3269,654000,-687.3912
3279,656000,-643.9454
3289,658000,-699.8271
3299,660000,-627.839
3309,662000,-621.2496
3319,664000,-677.3991
3329,666000,-678.055
3339,668000,-580.7836
3349,670000,-614.9333
3359,672000,-599.9294
3369,674000,-647.5861
3379,676000,-596.8808
3389,678000,-568.7159
3399,680000,-605.9231
3409,682000,-610.5726
3419,684000,-600.5215
3429,686000,-555.9093
3439,688000,-483.5528
3449,690000,-500.3795
3459,692000,-543.7459
3469,694000,-467.8917
3479,696000,-423.2221
3489,698000,-508.1484
3499,700000,-346.6561
3509,702000,-366.9235
3519,704000,-404.2932
3529,706000,-331.4403
3539,708000,-293.7225
