episode,timestep,reward
9,2000,-1440.9392
19,4000,-1347.855
29,6000,-1259.8217
39,8000,-1405.2777
49,10000,-1254.0583
59,12000,-1384.1615
69,14000,-1188.527
79,16000,-1035.3992
89,18000,-1075.588
99,20000,-1361.5105
109,22000,-1177.005
119,24000,-1296.9168
129,26000,-1212.7869
139,28000,-1037.0537
149,30000,-1177.5496
159,32000,-1077.2683
169,34000,-1386.7376
179,36000,-1115.4043
189,38000,-1061.2181
199,40000,-1030.3097
209,42000,-1290.1576
219,44000,-1196.0528
229,46000,-1204.5241
239,48000,-1159.9621
249,50000,-1213.8277
259,52000,-1045.2031
269,54000,-1185.0541
279,56000,-1256.8031
289,58000,-1225.8013
299,60000,-1106.8527
309,62000,-1133.7976
319,64000,-1123.0498
329,66000,-1100.8679
339,68000,-975.5497
349,70000,-1229.2124
359,72000,-1065.2873
369,74000,-1041.1786
379,76000,-1036.3347
389,78000,-1188.0805
399,80000,-1098.0583
409,82000,-1067.7519
419,84000,-1008.5793
429,86000,-1063.5155
439,88000,-1096.2618
449,90000,-1012.8972
459,92000,-946.5235
469,94000,-1020.3522
479,96000,-1014.7099
489,98000,-942.6109
499,100000,-977.2927
509,102000,-938.8156
519,104000,-983.2382
529,106000,-972.1182
539,108000,-1027.7261
549,110000,-974.3012
559,112000,-977.9223
569,114000,-931.952
579,116000,-971.535
589,118000,-917.7543
599,120000,-972.2837
609,122000,-906.33
619,124000,-907.6394
629,126000,-926.9113
639,128000,-939.1156
649,130000,-939.7229
659,132000,-901.31
669,134000,-879.1325
679,136000,-917.4862
689,138000,-903.347
699,140000,-884.8398
709,142000,-957.3649
719,144000,-924.3775
729,146000,-905.6613
739,148000,-899.8016
749,150000,-867.136
759,152000,-800.7504
769,154000,-817.8549
779,156000,-760.0435
789,158000,-849.2522
799,160000,-897.0352
809,162000,-900.6358
819,164000,-850.6335
829,166000,-928.3525
839,168000,-851.3901
849,170000,-889.1584
859,172000,-834.8737
869,174000,-791.1289
879,176000,-854.3008
889,178000,-852.1578
899,180000,-829.9051
909,182000,-793.7413
919,184000,-829.8137
929,186000,-822.7837
939,188000,-831.4062
949,190000,-796.4003
959,192000,-787.8625
969,194000,-818.6138
979,196000,-832.0135
989,198000,-840.9406
