episode,timestep,reward
9,2000,-1107.1191
19,4000,-1181.4161
29,6000,-1140.6417
39,8000,-1315.477
49,10000,-1224.8727
59,12000,-1161.8777
69,14000,-1171.5489
79,16000,-1222.5046
89,18000,-1285.1494
99,20000,-1138.4955
109,22000,-1183.2484
119,24000,-1155.1029
129,26000,-1178.2984
139,28000,-1090.364
149,30000,-1109.8525
159,32000,-1130.2535
169,34000,-1174.894
179,36000,-1177.984
189,38000,-1196.7261
199,40000,-1161.5465
209,42000,-1091.9515
219,44000,-1127.498
229,46000,-1083.4046
239,48000,-1119.552
249,50000,-1058.5059
259,52000,-1092.0785
269,54000,-1137.2656
279,56000,-1016.3848
289,58000,-1000.4866
299,60000,-1126.4206
309,62000,-1051.5702
319,64000,-998.4892
329,66000,-969.1868
339,68000,-1046.6294
349,70000,-1001.1647
359,72000,-1074.0263
369,74000,-1014.0034
379,76000,-944.3448
389,78000,-969.5018
399,80000,-941.4601
409,82000,-1011.1322
419,84000,-930.8608
429,86000,-892.2185
439,88000,-939.4584
449,90000,-908.627
459,92000,-960.5354
469,94000,-827.7145
479,96000,-872.0048
489,98000,-928.5505
499,100000,-821.75
509,102000,-791.2101
519,104000,-768.093
529,106000,-820.0305
539,108000,-812.7944
549,110000,-838.0552
559,112000,-794.9355
569,114000,-811.1101
579,116000,-738.9253
589,118000,-780.0655
599,120000,-786.9267
609,122000,-778.0505
619,124000,-707.9642
629,126000,-819.0805
639,128000,-750.9829
649,130000,-754.2589
659,132000,-623.6109
669,134000,-636.7232
679,136000,-730.4309
689,138000,-704.3071
699,140000,-821.3332
709,142000,-694.1168
719,144000,-764.7762
729,146000,-634.7119
739,148000,-805.799
749,150000,-741.6093
759,152000,-663.6461
769,154000,-677.1883
779,156000,-648.0058
789,158000,-677.7862
799,160000,-627.5045
809,162000,-709.1763
819,164000,-721.3122
829,166000,-604.277
839,168000,-675.1605
849,170000,-378.6083
859,172000,-523.1926
869,174000,-559.2263
879,176000,-502.3776
889,178000,-336.7986
899,180000,-417.1212
909,182000,-411.1204
919,184000,-355.9151
929,186000,-323.0195
939,188000,-186.545
949,190000,-257.0363
959,192000,-232.6193
969,194000,-297.7763
979,196000,-237.7224
989,198000,-175.3665
999,200000,-233.0468
1009,202000,-182.1429
1019,204000,-186.1531
1029,206000,-229.6523
1039,208000,-213.273
1049,210000,-208.2328
1059,212000,-182.5191
1069,214000,-195.6736
1079,216000,-243.3294
1089,218000,-252.6662
1099,220000,-188.094
1109,222000,-252.4058
1119,224000,-250.8904
1129,226000,-185.2086
1139,228000,-236.6886
1149,230000,-202.6392
1159,232000,-147.2409
1169,234000,-217.4142
1179,236000,-219.8379
1189,238000,-242.4396
1199,240000,-231.9602
1209,242000,-230.7407
1219,244000,-109.1472
1229,246000,-167.4787
1239,248000,-158.4813
1249,250000,-246.6448
1259,252000,-201.7539
1269,254000,-167.6621
1279,256000,-158.427
1289,258000,-204.3495
1299,260000,-206.0539
1309,262000,-136.3511
1319,264000,-226.9604
1329,266000,-150.978
1339,268000,-191.5913
1349,270000,-185.1709
1359,272000,-145.4278
1369,274000,-149.0224
1379,276000,-210.8093
1389,278000,-225.2541
1399,280000,-123.1051
1409,282000,-234.0025
1419,284000,-156.0197
1429,286000,-158.9231
1439,288000,-170.0332
1449,290000,-168.9764
1459,292000,-213.8421
1469,294000,-148.9699
1479,296000,-231.9594
1489,298000,-199.9223
1499,300000,-143.2367
1509,302000,-156.0763
1519,304000,-184.4756
1529,306000,-144.699
1539,308000,-143.8144
1549,310000,-130.8673
1559,312000,-134.3613
1569,314000,-136.377
1579,316000,-219.5473
1589,318000,-279.9723
1599,320000,-593.6839
1609,322000,-355.2389
1619,324000,-196.6394
1629,326000,-667.6084
1639,328000,-1001.6985
1649,330000,-718.1257
1659,332000,-856.5666
1669,334000,-956.4074
1679,336000,-1003.7341
1689,338000,-855.0946
1699,340000,-996.2691
1709,342000,-755.7652
1719,344000,-685.4556
1729,346000,-629.0135
1739,348000,-779.1958
1749,350000,-320.5918
1759,352000,-692.1813
1769,354000,-1089.4425
1779,356000,-881.9094
1789,358000,-697.8894
1799,360000,-725.5667
1809,362000,-692.0741
1819,364000,-644.5289
1829,366000,-811.8603
1839,368000,-774.6137
1849,370000,-676.7654
1859,372000,-649.1687
