episode,timestep,reward
9,2000,-1075.2419
19,4000,-1186.4515
29,6000,-1290.0879
39,8000,-1243.3555
49,10000,-1193.451
59,12000,-1185.6307
69,14000,-1170.0816
79,16000,-987.9995
89,18000,-1198.6212
99,20000,-1159.8479
109,22000,-1169.4233
119,24000,-1099.523
129,26000,-1013.1095
139,28000,-1042.7885
149,30000,-1093.9369
159,32000,-1309.8613
169,34000,-1005.8489
179,36000,-1138.5187
189,38000,-1097.4797
199,40000,-1254.7766
209,42000,-1230.327
219,44000,-976.6148
229,46000,-1312.8523
239,48000,-945.9324
249,50000,-1230.1426
259,52000,-1126.2114
269,54000,-1190.8268
279,56000,-1189.092
289,58000,-1075.4879
299,60000,-1127.1645
309,62000,-1250.2309
319,64000,-974.5762
329,66000,-1121.7025
339,68000,-1085.5779
349,70000,-1025.9541
359,72000,-943.3496
369,74000,-1054.6247
379,76000,-1079.6716
389,78000,-1018.8776
399,80000,-961.5826
409,82000,-1015.3018
419,84000,-967.5813
429,86000,-985.2489
439,88000,-1065.1292
449,90000,-856.6704
459,92000,-1014.0252
469,94000,-951.3991
479,96000,-958.563
489,98000,-983.8127
499,100000,-968.0562
509,102000,-954.668
519,104000,-970.4768
529,106000,-969.8221
539,108000,-935.4407
549,110000,-976.04
559,112000,-990.0419
569,114000,-948.695
579,116000,-897.8154
589,118000,-898.8646
599,120000,-903.5105
609,122000,-869.4421
619,124000,-882.2316
629,126000,-846.3602
639,128000,-900.7301
649,130000,-844.1936
659,132000,-977.8852
669,134000,-939.0433
679,136000,-892.0213
689,138000,-847.1744
699,140000,-839.7129
709,142000,-852.9692
719,144000,-857.59
729,146000,-863.8321
739,148000,-879.0216
749,150000,-753.8656
759,152000,-787.638
769,154000,-839.6754
779,156000,-844.1833
789,158000,-802.3555
799,160000,-870.5131
809,162000,-700.8502
819,164000,-771.0619
829,166000,-817.7826
839,168000,-798.984
849,170000,-854.2014
859,172000,-837.5134
869,174000,-797.5128
879,176000,-811.6418
889,178000,-756.6587
899,180000,-835.2999
909,182000,-721.2313
919,184000,-799.6718
929,186000,-793.9549
939,188000,-815.1991
949,190000,-724.3276
959,192000,-761.967
969,194000,-744.8022
979,196000,-718.2526
989,198000,-758.4424
999,200000,-720.2534
1009,202000,-754.1725
1019,204000,-745.133
1029,206000,-720.8688
1039,208000,-693.5514
1049,210000,-766.872
1059,212000,-820.843
1069,214000,-812.7559
1079,216000,-741.1741
1089,218000,-764.2578
1099,220000,-745.6391
1109,222000,-714.5116
1119,224000,-724.6413
1129,226000,-757.0843
1139,228000,-693.4967
1149,230000,-728.3588
1159,232000,-705.5294
1169,234000,-815.9809
1179,236000,-727.5688
1189,238000,-705.3983
1199,240000,-741.4715
1209,242000,-812.1854
1219,244000,-795.3487
1229,246000,-717.2998
1239,248000,-666.5714
1249,250000,-698.4903
1259,252000,-775.6314
1269,254000,-665.0158
1279,256000,-644.9914
1289,258000,-740.8445
1299,260000,-734.2865
1309,262000,-663.9715
1319,264000,-699.0132
1329,266000,-682.7656
1339,268000,-633.1673
1349,270000,-647.9038
1359,272000,-660.557
1369,274000,-708.3283
1379,276000,-684.498
1389,278000,-662.9895
1399,280000,-685.8858
1409,282000,-648.4332
1419,284000,-631.5445
1429,286000,-639.7314
1439,288000,-630.1453
1449,290000,-563.6664
1459,292000,-515.3491
1469,294000,-517.6172
1479,296000,-568.0553
1489,298000,-519.1833
1499,300000,-520.0066
1509,302000,-362.9605
1519,304000,-406.3484
1529,306000,-405.6556
1539,308000,-375.6302
1549,310000,-304.3815
1559,312000,-283.6504
1569,314000,-367.008
1579,316000,-356.3874
1589,318000,-333.7958
1599,320000,-329.9431
1609,322000,-307.1938
1619,324000,-212.8021
1629,326000,-371.5201
1639,328000,-262.4284
1649,330000,-315.6751
1659,332000,-244.9531
1669,334000,-359.1781
1679,336000,-354.0338
1689,338000,-333.0824
1699,340000,-290.7907
1709,342000,-404.5811
1719,344000,-414.9341
1729,346000,-344.9387
1739,348000,-332.9291
1749,350000,-254.4563
1759,352000,-223.4749
1769,354000,-242.4622
1779,356000,-244.0029
1789,358000,-340.609
1799,360000,-364.4853
1809,362000,-253.4853
1819,364000,-257.9314
1829,366000,-284.0339
1839,368000,-321.8767
1849,370000,-257.6486
1859,372000,-233.9718
1869,374000,-251.6075
1879,376000,-417.5062
1889,378000,-316.6105
1899,380000,-439.6801
1909,382000,-253.699
1919,384000,-334.3555
1929,386000,-279.8276
1939,388000,-258.0301
1949,390000,-266.56
1959,392000,-272.5193
1969,394000,-313.6326
1979,396000,-329.0458
1989,398000,-285.826
1999,400000,-322.5927
2009,402000,-320.6779
2019,404000,-305.1547
2029,406000,-321.2792
2039,408000,-374.1262
2049,410000,-304.1569
2059,412000,-201.9306
2069,414000,-271.9242
2079,416000,-310.2075
2089,418000,-316.3048
2099,420000,-343.52
2109,422000,-296.2241
2119,424000,-239.0985
2129,426000,-276.6779
2139,428000,-235.7456
2149,430000,-211.484
2159,432000,-256.2358
2169,434000,-319.8247
2179,436000,-272.9814
2189,438000,-314.2862
2199,440000,-209.6743
2209,442000,-209.4538
2219,444000,-267.6103
2229,446000,-293.2547
2239,448000,-219.5001
2249,450000,-305.4797
2259,452000,-284.9393
2269,454000,-334.4373
2279,456000,-305.4926
2289,458000,-204.2227
2299,460000,-349.9841
2309,462000,-288.0933
2319,464000,-136.3985
2329,466000,-212.4447
2339,468000,-198.7508
2349,470000,-389.8957
2359,472000,-297.9031
2369,474000,-249.0875
2379,476000,-395.2109
2389,478000,-298.3011
2399,480000,-273.2667
2409,482000,-207.9344
2419,484000,-257.6622
2429,486000,-302.0285
2439,488000,-236.8379
2449,490000,-269.9631
2459,492000,-300.8238
2469,494000,-307.2068
2479,496000,-321.6131
2489,498000,-199.1676
2499,500000,-327.4168
2509,502000,-331.421
2519,504000,-261.9475
2529,506000,-174.8088
2539,508000,-260.3796
2549,510000,-241.4773
2559,512000,-259.1985
2569,514000,-244.6885
2579,516000,-327.0841
2589,518000,-279.8691
2599,520000,-369.0362
2609,522000,-184.3322
2619,524000,-233.4071
