episode,timestep,reward
9,2000,-1207.5803
19,4000,-1279.3971
29,6000,-1397.3851
39,8000,-1198.0385
49,10000,-1195.8659
59,12000,-1237.6873
69,14000,-1135.0846
79,16000,-1217.8557
89,18000,-1176.5853
99,20000,-1229.9636
109,22000,-1154.9963
119,24000,-1221.478
129,26000,-1131.1528
139,28000,-1169.2801
149,30000,-1202.1538
159,32000,-1364.484
169,34000,-1152.1758
179,36000,-1229.0061
189,38000,-1179.9744
199,40000,-1307.2579
209,42000,-1197.4717
219,44000,-1386.9141
229,46000,-1305.2306
239,48000,-1219.854
249,50000,-1367.58
259,52000,-1334.9143
269,54000,-1127.3328
279,56000,-1286.7012
289,58000,-1380.6191
299,60000,-1159.902
309,62000,-1195.8878
319,64000,-1151.2475
329,66000,-1206.4561
339,68000,-1126.4668
349,70000,-1211.5744
359,72000,-1283.4385
369,74000,-1096.5097
379,76000,-1210.6526
389,78000,-1162.3688
399,80000,-1262.5295
409,82000,-1103.3003
419,84000,-1121.5093
429,86000,-1170.2971
439,88000,-1269.4892
449,90000,-1323.2485
459,92000,-1309.082
469,94000,-1197.6025
479,96000,-1192.0725
489,98000,-1390.0985
499,100000,-1172.2529
509,102000,-1327.0486
519,104000,-1139.0175
529,106000,-1196.7326
539,108000,-1190.3224
549,110000,-1022.1389
559,112000,-1327.7049
569,114000,-1176.1087
579,116000,-1087.7062
589,118000,-1097.625
599,120000,-1128.1205
609,122000,-1268.0253
619,124000,-1148.4836
629,126000,-1135.5576
639,128000,-1164.3815
649,130000,-1265.1101
659,132000,-1174.1938
669,134000,-1203.4021
679,136000,-1136.6788
689,138000,-1158.4897
699,140000,-1248.733
709,142000,-1118.3989
719,144000,-1117.0824
729,146000,-1080.2282
739,148000,-1136.5052
749,150000,-1154.7537
759,152000,-1196.0713
769,154000,-1102.0145
779,156000,-1146.6241
789,158000,-1111.6144
799,160000,-1167.3122
809,162000,-1189.5492
819,164000,-1082.312
