episode,timestep,reward
9,2000,-1272.8154
19,4000,-1124.9371
29,6000,-1209.0903
39,8000,-1206.6745
49,10000,-1196.254
59,12000,-1345.6909
69,14000,-1126.8797
79,16000,-1248.7007
89,18000,-1080.9715
99,20000,-1268.9626
109,22000,-1255.698
119,24000,-1159.3713
129,26000,-1174.3449
139,28000,-1186.7823
149,30000,-1071.9577
159,32000,-1215.1555
169,34000,-1169.5902
179,36000,-1352.471
189,38000,-1133.3628
199,40000,-1141.1669
209,42000,-1445.7085
219,44000,-1230.6472
229,46000,-1127.4064
239,48000,-1174.7858
249,50000,-1153.4323
259,52000,-1220.0675
269,54000,-1295.9363
279,56000,-1050.549
289,58000,-1172.1141
299,60000,-1097.6669
309,62000,-988.8046
319,64000,-1261.781
329,66000,-1079.995
339,68000,-1043.0443
349,70000,-1033.6387
359,72000,-1083.4154
369,74000,-985.4631
379,76000,-1026.8182
389,78000,-1113.8216
399,80000,-1030.6578
409,82000,-997.4491
419,84000,-1033.9535
429,86000,-1077.6194
439,88000,-1087.6853
449,90000,-1079.603
459,92000,-1055.5817
469,94000,-996.3333
479,96000,-1003.018
489,98000,-910.3988
499,100000,-1049.1515
509,102000,-953.235
519,104000,-895.1744
529,106000,-928.9257
539,108000,-932.9209
549,110000,-918.3505
559,112000,-808.7662
569,114000,-879.6201
579,116000,-896.582
589,118000,-784.085
599,120000,-851.9126
609,122000,-841.8678
619,124000,-861.3194
629,126000,-860.0346
639,128000,-848.2704
649,130000,-754.1723
659,132000,-858.2426
669,134000,-757.9384
679,136000,-759.1993
689,138000,-692.6092
699,140000,-789.4205
709,142000,-749.0519
719,144000,-723.2389
729,146000,-594.1858
739,148000,-661.7251
749,150000,-647.9594
759,152000,-740.0695
769,154000,-587.7586
779,156000,-599.4851
789,158000,-513.1004
799,160000,-602.4967
809,162000,-613.8758
819,164000,-514.6389
829,166000,-563.248
839,168000,-572.2368
849,170000,-472.3942
859,172000,-482.0209
869,174000,-424.3199
879,176000,-465.2365
889,178000,-458.1726
899,180000,-470.5865
909,182000,-461.4648
919,184000,-428.8842
929,186000,-336.3036
939,188000,-453.8413
949,190000,-402.0569
959,192000,-431.0354
969,194000,-362.2578
979,196000,-351.2368
989,198000,-330.4934
999,200000,-292.2214
1009,202000,-327.877
1019,204000,-279.9368
1029,206000,-308.3538
1039,208000,-300.6738
1049,210000,-295.7952
1059,212000,-202.3696
1069,214000,-211.9021
1079,216000,-232.2935
1089,218000,-265.5589
1099,220000,-212.9939
1109,222000,-244.4641
1119,224000,-320.1982
1129,226000,-216.2076
1139,228000,-213.5999
1149,230000,-306.5331
1159,232000,-238.1745
1169,234000,-261.5397
1179,236000,-176.19
1189,238000,-235.8882
1199,240000,-186.6253
