episode,timestep,reward
9,2000,-1275.8711
19,4000,-1205.5375
29,6000,-1409.3987
39,8000,-1451.6786
49,10000,-1342.0467
59,12000,-1459.4629
69,14000,-1221.7323
79,16000,-1192.5376
89,18000,-1230.7762
99,20000,-1141.3264
109,22000,-1265.0509
119,24000,-1310.1301
129,26000,-1243.1224
139,28000,-1366.2074
149,30000,-1291.7068
159,32000,-1396.7666
169,34000,-1176.5342
179,36000,-1317.9882
189,38000,-1243.5355
199,40000,-1246.792
209,42000,-1225.6731
219,44000,-1224.6079
229,46000,-1422.9519
239,48000,-1370.4908
249,50000,-1337.697
259,52000,-1284.3097
269,54000,-1138.486
279,56000,-1228.1035
289,58000,-1211.7889
299,60000,-1293.2329
309,62000,-1211.243
319,64000,-1193.5786
329,66000,-1163.515
339,68000,-1215.2534
349,70000,-1186.5104
359,72000,-1233.4672
369,74000,-1207.3712
379,76000,-1257.5136
389,78000,-1142.8179
399,80000,-1199.7048
409,82000,-1191.0649
419,84000,-1205.9247
429,86000,-1095.222
439,88000,-1150.0294
449,90000,-1305.5842
459,92000,-1234.9571
469,94000,-1092.3511
479,96000,-1177.1652
489,98000,-1154.8257
499,100000,-1212.6693
509,102000,-1087.3086
519,104000,-1207.201
529,106000,-1129.2731
539,108000,-1172.9597
549,110000,-1151.7783
559,112000,-1057.2236
569,114000,-1188.8977
579,116000,-982.8643
589,118000,-1195.1211
599,120000,-1133.6281
609,122000,-1235.7948
619,124000,-1230.3807
629,126000,-1197.5797
639,128000,-1240.4234
649,130000,-1137.3924
659,132000,-1099.4732
669,134000,-1044.0832
679,136000,-1102.3007
689,138000,-1146.8304
699,140000,-1060.0227
709,142000,-1157.3019
719,144000,-1179.5498
729,146000,-1154.879
739,148000,-1116.0969
749,150000,-1068.0806
759,152000,-1134.8187
769,154000,-1055.5912
779,156000,-1200.6927
789,158000,-1157.1449
799,160000,-1083.4454
809,162000,-1139.8407
819,164000,-1031.9626
829,166000,-1110.2072
839,168000,-1173.2656
849,170000,-1104.93
859,172000,-1111.6386
869,174000,-1110.7118
879,176000,-1156.9495
889,178000,-1174.0541
899,180000,-1202.4451
909,182000,-1191.7032
919,184000,-1165.5079
929,186000,-1005.8515
939,188000,-1124.5475
949,190000,-1175.3417
959,192000,-1009.9067
